Replicate,Watering,Phase,Variety,Leaf Water Potential,total leaf area (cm2),Photosynthesis,Stomatal Conductance,Transpiration Rate,Water Use Efficiency,Total Shoot Dry Weight,Specific Leaf Area,Total Root Mass,Specific root length (m/g)
1,Control,drought,Mara,-0.29,3018.76,22.21926579,0.326895978,4.652066646,4.776213987,26.806,0.019832081,7.9815,146.4729321
1,Control,drought,2778,-0.74,3534.2,24.29419532,0.448079678,5.181601327,4.688549695,33.2456,0.019628338,14.4104,123.1081182
1,Control,drought,2789,-0.68,2588.97,11.97400845,0.505481815,5.758249728,2.079452789,20.9356,0.022521399,7.6362,142.172424
2,Control,drought,2789,-0.56,2525.94,36.61081664,0.726538365,9.428043342,3.883182895,22.2654,0.020026163,6.2959,493.6339048
2,Control,drought,2778,-0.88,2679.8,26.02066618,0.415839494,6.374282158,4.082132786,30.4034,0.016316962,14.7601,151.974474
2,Control,drought,Mara,-0.77,3099.26,20.85192458,0.244317801,4.286738707,4.86428635,27.826,0.017918941,8.7258,120.6569039
2,Control,drought,4841,-0.99,2727.95,23.80205767,0.23598677,4.486758161,5.304956678,26.5875,0.019959393,10.238,173.1670656
2,Deficit,drought,4841,-2.68,815.4,2.68015319,0.028017281,0.669034049,4.006004171,15.7847,0.013422885,5.9385,227.6467443
2,Deficit,drought,2778,-2.7,800.51,6.954443779,0.041072272,0.926829824,7.503474315,26.9225,0.011701823,13.474,114.8309313
2,Deficit,drought,2789,-2.2,1000.58,6.085622938,0.039240339,0.855793806,7.111085512,14.1907,0.013482725,6.1961,152.4934501
2,Deficit,drought,Mara,-2,845.78,4.274497672,0.017346357,0.551703068,7.747822908,17.5225,0.013316854,6.4901,10.332
3,Deficit,drought,Mara,-2.1,1024.58,3.356677522,0.02235414,0.567458138,5.915286607,15.7753,0.013010044,6.5329,122.1057024
3,Deficit,drought,2789,-1.9,653.8,2.621904598,0.02473772,0.572749838,4.577748299,11.7183,0.012793519,5.3583,201.8273784
3,Deficit,drought,4841,-2.7,767.49,4.420395292,0.032060517,0.720577707,6.13451575,19.9368,0.010651742,8.5906,67.64205301
3,Deficit,drought,2778,-2.5,945.63,5.017920248,0.06466714,1.341581278,3.740302828,24.2326,0.010853591,12.7582,91.9020538
3,Control,drought,2789,-0.7,2543.48,25.11042766,0.356780558,4.332662421,5.795611387,23.9163,0.019021366,6.9743,176.4293602
3,Control,drought,2778,-0.86,3591.93,19.55595398,0.32450316,4.176137838,4.682784605,39.0234,0.017535039,15.2482,105.1048423
3,Control,drought,Mara,-0.78,2965.97,17.38277726,0.251410851,3.539818189,4.910641262,28.0103,0.017223884,7.2763,209.9691553
3,Control,drought,4841,-1.08,2532.82,20.55927961,0.254750226,3.798572281,5.412370252,28.16051,0.016844355,9.143,195.0964965
4,Control,drought,2789,-0.8,2578.82,13.15188244,0.191796054,2.922818892,5.431644108,24.6395,0.018316133,7.7919,225.1335925
4,Control,drought,Mara,-0.8,3115.56,13.15188244,0.191796054,2.922818892,5.431644108,27.121,0.017821429,8.729,123.230642
4,Control,drought,2778,-0.88,2827.96,13.15188244,0.191796054,2.922818892,5.431644108,35.4224,0.01604034,16.047,123.5833738
4,Control,drought,4841,-1,2916.59,13.15188244,0.191796054,2.922818892,5.431644108,26.7949,0.017191908,8.8726,145.8616488
4,Deficit,drought,4841,-2.6,979.8,9.213434019,0.066081943,1.519735559,6.062524471,18.4802,0.011691845,7.3277,117.8132081
4,Deficit,drought,2778,-2.1,1052.47,4.880415947,0.038919478,0.833104683,5.858106489,24.2824,0.011436908,13.3898,146.2020606
